% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
2.841	1	1	1	0.999999	0
2.841	2	4	1	0.999999	0
2.842	1	2	2	0.999999	0
2.842	2	5	2	0.999999	0
2.843	1	3	3	0.999999	0
2.843	2	6	3	0.999999	0
2.881	1	1	1	0.999999	0
2.881	2	4	1	0.999999	0
2.882	1	2	2	0.999999	0
2.882	2	5	2	0.999999	0
2.883	1	3	3	0.999999	0
2.883	2	6	3	0.999999	0
2.921	1	1	1	0.999999	0
2.921	2	4	1	0.999999	0
2.922	1	2	2	0.999999	0
2.922	2	5	2	0.999999	0
2.923	1	3	3	0.999999	0
2.923	2	6	3	0.999999	0
2.961	1	1	1	0.999999	0
2.961	2	4	1	0.999999	0
2.962	1	2	2	0.999999	0
2.962	2	5	2	0.999999	0
2.963	1	3	3	0.999999	0
2.963	2	6	3	0.999999	0
3.001	1	1	1	0.999999	0
3.001	2	4	1	0.999999	0
3.002	1	2	2	0.999999	0
3.002	2	5	2	0.999999	0
3.003	1	3	3	0.999999	0
3.003	2	6	3	0.999999	0
3.041	1	1	1	0.999999	0
3.041	2	4	1	0.999999	0
3.042	1	2	2	0.999999	0
3.042	2	5	2	0.999999	0
3.043	1	3	3	0.999999	0
3.043	2	6	3	0.999999	0
3.081	1	1	1	0.999999	0
3.081	2	4	1	0.999999	0
3.082	1	2	2	0.999999	0
3.082	2	5	2	0.999999	0
3.083	1	3	3	0.999999	0
3.083	2	6	3	0.999999	0
3.121	1	1	1	0.999999	0
3.121	2	4	1	0.999999	0
3.122	1	2	2	0.999999	0
3.122	2	5	2	0.999999	0
3.123	1	3	3	0.999999	0
3.123	2	6	3	0.999999	0
3.161	1	1	1	0.999999	0
3.161	2	4	1	0.999999	0
3.162	1	2	2	0.999999	0
3.162	2	5	2	0.999999	0
3.163	1	3	3	0.999999	0
3.163	2	6	3	0.999999	0
3.201	1	1	1	0.999999	0
3.201	2	4	1	0.999999	0
3.202	1	2	2	0.999999	0
3.202	2	5	2	0.999999	0
3.203	1	3	3	0.999999	0
3.203	2	6	3	0.999999	0
3.241	1	1	1	0.999999	0
3.241	2	4	1	0.999999	0
3.242	1	2	2	0.999999	0
3.242	2	5	2	0.999999	0
3.243	1	3	3	0.999999	0
3.243	2	6	3	0.999999	0
3.281	1	1	1	0.999999	0
3.281	2	4	1	0.999999	0
3.282	1	2	2	0.999999	0
3.282	2	5	2	0.999999	0
3.283	1	3	3	0.999999	0
3.283	2	6	3	0.999999	0
3.321	1	1	1	0.999999	0
3.321	2	4	1	0.999999	0
3.322	1	2	2	0.999999	0
3.322	2	5	2	0.999999	0
3.323	1	3	3	0.999999	0
3.323	2	6	3	0.999999	0
3.361	1	1	1	0.999999	0
3.361	2	4	1	0.999999	0
3.362	1	2	2	0.999999	0
3.362	2	5	2	0.999999	0
3.363	1	3	3	0.999999	0
3.363	2	6	3	0.999999	0
3.401	1	1	1	0.999999	0
3.401	2	4	1	0.999999	0
3.402	1	2	2	0.999999	0
3.402	2	5	2	0.999999	0
3.403	1	3	3	0.999999	0
3.403	2	6	3	0.999999	0
3.441	1	1	1	0.999999	0
3.441	2	4	1	0.999999	0
3.442	1	2	2	0.999999	0
3.442	2	5	2	0.999999	0
3.443	1	3	3	0.999999	0
3.443	2	6	3	0.999999	0
3.481	1	1	1	0.999999	0
3.481	2	4	1	0.999999	0
3.482	1	2	2	0.999999	0
3.482	2	5	2	0.999999	0
3.483	1	3	3	0.999999	0
3.483	2	6	3	0.999999	0
3.521	1	1	1	0.999999	0
3.521	2	4	1	0.999999	0
3.522	1	2	2	0.999999	0
3.522	2	5	2	0.999999	0
3.523	1	3	3	0.999999	0
